tenure,monthly_charges,contract_months,support_calls,churn
37,81.83,1,6,1
67,97.3,12,7,0
69,76.61,24,1,0
37,37.04,1,8,1
7,20.44,12,1,0
24,116.72,24,5,0
66,46.06,1,4,0
30,69.83,1,1,0
72,98.69,24,5,1
52,112.85,24,1,0
4,57.19,12,4,0
70,70.12,12,3,0
17,73.15,24,0,0
42,72.17,12,8,0
22,66.32,24,4,0
17,53.41,24,3,0
35,50.15,24,2,0
32,92.32,24,8,1
31,52.81,1,4,0
14,36.46,24,1,0
20,118.38,12,4,0
26,30.93,1,4,1
50,66.39,1,6,0
56,89.34,24,4,0
19,45.72,24,6,1
32,110.8,12,6,0
30,87.96,24,1,0
41,45.98,24,1,0
32,98.24,24,2,1
55,68.27,1,6,0
24,109.45,12,0,0
63,110.82,1,0,1
28,36.08,1,8,1
59,74.1,24,7,0
48,72.17,12,7,0
24,59.25,1,5,0
33,47.44,12,0,0
54,111.54,24,5,0
14,42.44,24,6,0
68,117.15,12,7,1
17,112.94,1,3,1
72,92.07,1,5,1
53,66.81,12,8,0
61,55.47,1,4,0
33,118.29,24,2,0
36,55.8,24,4,0
63,62.85,24,1,0
47,35.28,12,6,1
42,98.4,1,8,0
2,85.73,1,1,1
33,80.82,24,2,0
24,97.63,12,2,1
52,99.17,1,1,0
71,98.81,12,3,0
28,73.08,24,7,0
15,75.51,12,6,0
18,67.32,24,0,0
19,90.04,1,7,1
1,36.04,12,7,0
64,86.53,12,5,0
10,38.05,12,0,1
6,88.26,12,1,0
63,95.72,1,0,1
54,82.53,12,1,0
47,54.13,24,8,0
27,48.42,12,6,0
7,102.67,12,5,1
52,53.37,12,8,0
27,85.46,1,5,1
39,32.76,24,1,0
6,59.89,24,6,1
7,59.85,1,0,1
61,80.87,24,0,0
70,81.17,24,2,0
11,41.25,24,7,0
23,30.14,1,0,0
13,111.41,24,0,0
18,98.65,24,4,0
24,62.18,12,0,0
7,69.78,24,0,0
54,77.53,12,7,1
50,79.39,24,2,0
53,74.88,1,7,1
20,82.69,12,0,0
16,118.66,1,3,0
17,67.23,12,3,0
24,112.28,12,2,0
11,49.31,24,7,1
33,111.35,1,0,1
2,108.33,24,1,1
40,92.94,1,7,1
41,56.76,24,7,0
22,34.49,1,5,0
21,82.97,12,7,0
58,114.49,24,5,1
8,82.18,24,5,0
2,103.13,24,4,1
32,57.67,24,6,0
30,100.75,12,0,0
35,62.25,24,0,0
19,101.18,24,2,1
71,88.46,12,5,0
70,75.37,12,3,0
30,50.95,1,6,1
27,112.6,24,0,0
59,74.06,24,5,0
30,59.82,24,4,0
67,52.1,24,3,0
25,29.22,24,4,0
46,60.25,24,2,0
64,57.4,1,5,0
11,35.62,24,0,1
67,80.71,1,0,1
63,78.67,1,4,0
36,62.59,12,2,0
5,53.88,1,6,1
7,23.48,12,7,1
9,106.3,24,6,0
12,45.72,24,3,0
65,59.31,12,2,0
31,119.17,1,2,1
